avg. reported cases,avg.deaths per year,target_deathrate,incidence rate,Avg. income,poverty percent,male age,female age,percent married
1397,469,164.9,489.8,61898,11.2,36.9,41.7,52.5
173,70,161.3,411.6,48127,18.6,32.2,33.7,44.5
102,50,174.7,349.7,49348,14.6,44,45.8,54.2
427,202,194.8,430.4,44243,17.1,42.2,43.4,52.7
57,26,144.4,350.1,49955,12.5,47.8,48.9,57.8
428,152,176,505.4,52313,15.6,43.5,48,50.4
250,97,175.9,461.8,37782,23.2,42.2,43.5,54.1
146,71,183.6,404,40189,17.8,50.8,52.5,52.7
88,36,190.5,459.4,42579,22.3,48.4,49.8,55.9
4025,1380,177.8,510.9,60397,13.1,34.7,37,50
113,36,121.4,413.3,54721,12.7,54,54.6,56.8
740,269,172.7,499.3,51395,15.7,40,42.2,53.6
55,26,188.3,398.9,52673,12.6,44.9,45.5,54.4
3438,1118,165.3,493.4,71890,9.9,36.6,38.7,52.1
2265,901,171,440.7,50083,16.3,35.7,38.7,49.4
251,106,174.2,423.8,43823,19.3,45.6,46.8,57.2
1390,483,169.9,495.9,61653,11.9,37.1,39.9,52.4
32,12,153.8,463.2,51022,13.9,51.5,53.1,53.5
305,120,162.8,442.5,49819,15.7,35.5,39.1,46.5
1081,367,163.3,490.9,53733,15.7,35.6,37.5,47.5
134,50,140.8,390.5,41837,28.4,24.4,23.9,36.1
958,403,169.4,411,44342,20.5,31.6,33.6,48.6
94,41,189.7,445.2,35615,21.5,40.9,42.1,52
499,215,206.1,463.1,56737,13.2,38,38.6,51.8
152,70,236.7,501.8,37625,22.1,41.2,43.2,55.2
80,40,196.3,396.6,33817,22.2,43.7,45.3,52.4
164,69,186.2,481.6,43572,15.1,44.1,48,50.3
564,237,194,483.4,34887,21.9,36.9,39.9,43
50,25,226.5,459.9,32162,21.8,47.6,46.5,55.7
70,26,212.9,591,32961,25.1,43.4,43.3,55.8
25,19,185.6,234,41838,17.4,41.8,45.5,45.8
280,137,217,457,36739,21.4,42,45.1,50.9
45,21,209.9,463.1,32705,28.9,37.4,41.2,43.2
58,22,128,356.3,41039,17,45.5,45.7,50.5
250,103,195.1,494.9,36996,21.1,44.6,46.7,52.2
145,66,212.1,475.1,35980,21.2,44,45.1,38.7
218,85,184.1,495,48178,12.9,44.1,47.9,51.8
68,29,153,374.9,41010,15.3,44.2,45,50.1
449,192,206.7,506.6,42121,13.9,40.5,43.5,52.4
182,78,194.2,475.8,41121,16.7,41.2,44.1,54.5
245,101,178.2,423.7,66950,10.2,39.9,39.3,53.3
1285,539,205.4,508.7,43936,16.8,40.9,44.3,47.9
124,50,218.4,553,40568,20,42.2,44.7,50.6
139,60,226.9,513.2,34295,24.4,41.4,42.8,50.6
245,113,240.1,523.9,36437,20.2,41.5,44.1,53.1
137,70,234.8,457.1,24707,34.9,41.5,46.5,46
373,144,188.8,510.9,43729,17.9,39.7,42.7,51
208,87,184.6,456.3,43356,15.2,42.9,46.5,57.7
168,78,209.5,463.4,35799,20.6,42.3,44.1,51.6
418,184,210,493.8,35046,20.5,40.6,43.7,50.6
170,76,198.4,456.6,40012,16.1,42.1,44.4,44.2
163,76,240.8,507,29839,28.1,40.4,42.7,55.6
382,132,155.9,444.5,43835,22.5,28.5,31.3,37.2
86,39,190.7,434.6,36351,19.3,45.4,48.3,56.8
105,52,209.7,425.4,44446,13,45.8,46.6,47.7
160,72,199.8,455.5,36375,19.6,42.3,44.7,57.9
308,123,184.4,500.9,40195,18.4,41.3,45.1,45.2
45,19,139.8,381.8,38204,16.7,47.4,50.3,55.3
45,21,213.3,458.9,44801,16.5,42,45.6,55
50,23,176.8,384.8,34341,17.6,47.9,49,56.4
183,73,169.8,435.3,41420,17.6,40.4,43.5,53.3
328,114,171.5,497.2,59472,10,40.4,41.6,57.4
482,206,198.2,469.6,40270,17.7,40,43.4,51.3
161,68,168.6,405.2,37468,20.8,41.7,45.1,52.2
72,32,214.7,502,46383,17.7,45.1,45.3,49.5
89,41,204,449.2,33041,23.1,43.2,45,53.9
76,36,170.4,377.1,32456,25.8,46.9,46,53.5
87,39,172.2,400.9,40305,16.8,41.6,44.5,52.3
56,19,168.1,528.4,36466,17.1,47,48.4,60.5
61,27,199.1,468.3,41019,15.8,45.6,46.9,53.5
142,60,189.5,453.7,38387,19.7,41.2,42.5,51.5
236,102,183.8,433.2,37242,20,41.3,43.5,48.9
65,33,259.5,511.9,29331,26.1,45.5,46.6,54.1
120,50,202.6,514.6,40013,18.5,44.6,47.2,51.4
35,14,185.8,455.3,38600,20.3,45.4,44,52.2
554,217,185.5,488.8,41932,17.2,41.1,44,51.1
134,69,235.4,447.8,34419,22.8,41.5,44.2,55.7
164,73,206,467.9,42063,17.8,49.7,53.3,50.9
90,45,217.5,451.5,41294,14.9,40.8,42.8,45.9
254,112,168.4,412.1,46375,13.7,42,45.6,55.8
88,42,171.7,369.9,44395,13.6,50.5,51.1,58.5
